mision, action, DateTime, org:resource, randomSeed 
,T_21_Busy,2023-09-16 17:21:35,4,50
,T_21_Done,2023-09-16 17:21:40,4,50
,T_22_Busy,2023-09-16 17:22:19,12,50
,T_22_Done,2023-09-16 17:22:24,12,50
,T_23_Busy,2023-09-16 17:23:29,9,50
,T_23_rebooting,2023-09-16 17:23:38,9,50
,T_23_Busy,2023-09-16 17:24:11,0,50
,T_23_rebooting,2023-09-16 17:24:21,0,50
,T_23_Busy,2023-09-16 17:24:46,1,50
,T_23_Done,2023-09-16 17:24:51,1,50
,T_25_ocupied,2023-09-16 17:25:20,1,50
,T_25_waiting,2023-09-16 17:25:20,1,50
,T_26_ocupied,2023-09-16 17:25:57,12,50
,T_26_waiting,2023-09-16 17:25:57,12,50
,T_31_ocupied,2023-09-16 17:30:04,2,50
,T_31_waiting,2023-09-16 17:30:04,2,50
,time_out,2023-09-16 17:35:47,user,50
,time_out,2023-09-16 17:35:47,user,50
,time_out,2023-09-16 17:35:48,user,50
,time_out,2023-09-16 17:35:48,user,50
