mision, action, DateTime, org:resource, randomSeed 
mision 0,T_16_ocupied,2023-09-20 18:32:37,20,1
mision 0,T_16_waiting,2023-09-20 18:32:37,20,1
mision 0,T_11_ocupied,2023-09-20 18:32:45,12,1
mision 0,T_11_waiting,2023-09-20 18:32:45,12,1
mision 0,T_26_ocupied,2023-09-20 18:32:49,10,1
mision 0,T_26_waiting,2023-09-20 18:32:49,10,1
mision 0,T_55_ocupied,2023-09-20 18:32:52,14,1
mision 0,T_55_waiting,2023-09-20 18:32:52,14,1
mision 0,T_8_ocupied,2023-09-20 18:32:53,29,1
mision 0,T_8_waiting,2023-09-20 18:32:53,29,1
mision 0,T_45_ocupied,2023-09-20 18:32:53,0,1
mision 0,T_45_waiting,2023-09-20 18:32:53,0,1
mision 0,T_58_ocupied,2023-09-20 18:32:56,6,1
mision 0,T_58_waiting,2023-09-20 18:32:56,6,1
mision 0,T_53_ocupied,2023-09-20 18:32:57,3,1
mision 0,T_53_waiting,2023-09-20 18:32:57,3,1
mision 0,T_44_ocupied,2023-09-20 18:32:58,15,1
mision 0,T_44_waiting,2023-09-20 18:32:58,15,1
mision 0,T_27_ocupied,2023-09-20 18:33:03,8,1
mision 0,T_27_waiting,2023-09-20 18:33:03,8,1
mision 0,T_39_ocupied,2023-09-20 18:33:05,11,1
mision 0,T_39_waiting,2023-09-20 18:33:05,11,1
mision 0,T_23_ocupied,2023-09-20 18:33:06,27,1
mision 0,T_23_waiting,2023-09-20 18:33:06,27,1
mision 0,T_24_ocupied,2023-09-20 18:33:08,25,1
mision 0,T_24_waiting,2023-09-20 18:33:08,25,1
mision 0,T_52_ocupied,2023-09-20 18:33:11,9,1
mision 0,T_52_waiting,2023-09-20 18:33:11,9,1
mision 0,T_37_ocupied,2023-09-20 18:33:17,18,1
mision 0,T_37_waiting,2023-09-20 18:33:17,18,1
mision 0,T_46_ocupied,2023-09-20 18:33:20,7,1
mision 0,T_46_waiting,2023-09-20 18:33:20,7,1
mision 0,T_59_ocupied,2023-09-20 18:33:32,26,1
mision 0,T_59_waiting,2023-09-20 18:33:32,26,1
mision 0,T_51_ocupied,2023-09-20 18:34:07,17,1
mision 0,T_51_waiting,2023-09-20 18:34:07,17,1
mision 0,T_1_ocupied,2023-09-20 18:34:20,13,1
mision 0,T_1_waiting,2023-09-20 18:34:20,13,1
mision 0,T_15_ocupied,2023-09-20 18:34:34,5,1
mision 0,T_15_waiting,2023-09-20 18:34:34,5,1
mision 0,T_13_ocupied,2023-09-20 18:35:01,19,1
mision 0,T_13_waiting,2023-09-20 18:35:01,19,1
mision 0,T_40_ocupied,2023-09-20 18:36:50,24,1
mision 0,T_40_waiting,2023-09-20 18:36:50,24,1
mision 0,T_11_Busy,2023-09-20 18:36:50,12,1
mision 0,T_27_Busy,2023-09-20 18:36:50,8,1
mision 0,T_59_Busy,2023-09-20 18:36:50,26,1
mision 0,T_55_Busy,2023-09-20 18:36:50,14,1
mision 0,T_39_Busy,2023-09-20 18:36:50,11,1
mision 0,T_24_Busy,2023-09-20 18:36:50,25,1
mision 0,T_16_Busy,2023-09-20 18:36:50,20,1
mision 0,T_45_Busy,2023-09-20 18:36:50,0,1
mision 0,T_13_Busy,2023-09-20 18:36:50,19,1
mision 0,T_40_Busy,2023-09-20 18:36:50,24,1
mision 0,T_44_Busy,2023-09-20 18:36:50,15,1
mision 0,T_46_Busy,2023-09-20 18:36:50,7,1
mision 0,T_15_Busy,2023-09-20 18:36:50,5,1
mision 0,T_23_Busy,2023-09-20 18:36:50,27,1
mision 0,T_26_Busy,2023-09-20 18:36:50,10,1
mision 0,T_52_Busy,2023-09-20 18:36:50,9,1
mision 0,T_58_Busy,2023-09-20 18:36:50,6,1
mision 0,T_51_Busy,2023-09-20 18:36:50,17,1
mision 0,T_1_Busy,2023-09-20 18:36:50,13,1
mision 0,T_53_Busy,2023-09-20 18:36:50,3,1
mision 0,T_8_Busy,2023-09-20 18:36:50,29,1
mision 0,T_37_Busy,2023-09-20 18:36:50,18,1
mision 0,T_11_Done,2023-09-20 18:36:55,12,1
mision 0,T_27_Done,2023-09-20 18:36:55,8,1
mision 0,T_59_Done,2023-09-20 18:36:55,26,1
mision 0,T_55_Done,2023-09-20 18:36:55,14,1
mision 0,T_39_Done,2023-09-20 18:36:55,11,1
mision 0,T_24_Done,2023-09-20 18:36:55,25,1
mision 0,T_16_Done,2023-09-20 18:36:55,20,1
mision 0,T_45_Done,2023-09-20 18:36:55,0,1
mision 0,T_13_Done,2023-09-20 18:36:55,19,1
mision 0,T_40_Done,2023-09-20 18:36:55,24,1
mision 0,T_44_Done,2023-09-20 18:36:55,15,1
mision 0,T_46_Done,2023-09-20 18:36:55,7,1
mision 0,T_15_Done,2023-09-20 18:36:55,5,1
mision 0,T_23_Done,2023-09-20 18:36:55,27,1
mision 0,T_26_Done,2023-09-20 18:36:55,10,1
mision 0,T_52_Done,2023-09-20 18:36:55,9,1
mision 0,T_58_Done,2023-09-20 18:36:55,6,1
mision 0,T_51_Done,2023-09-20 18:36:55,17,1
mision 0,T_1_Done,2023-09-20 18:36:55,13,1
mision 0,T_53_Done,2023-09-20 18:36:55,3,1
