case_id;activity;time;robot
mision21;TB_enter;2023-08-21 10:18:02;4
mision21;TA_enter;2023-08-21 10:18:06;1
mision21;TB_task2;2023-08-21 10:18:07;4
mision21;TA_task1;2023-08-21 10:18:11;1
mision21;TA_task3;2023-08-21 10:18:13;4
mision21;TB_task3;2023-08-21 10:18:13;4
mision21;TD_enter;2023-08-21 10:18:26;5
mision21;TD_task2;2023-08-21 10:18:31;5
mision21;TC_enter;2023-08-21 10:19:04;3
mision21;TC_task1;2023-08-21 10:19:09;3
mision21;TC_task3;2023-08-21 10:19:11;0
mision21;TD_task3;2023-08-21 10:19:11;0
mision21;TF_enter;2023-08-21 10:19:27;4
mision21;TF_task2;2023-08-21 10:19:32;4
mision21;TE_enter;2023-08-21 10:19:40;0
mision21;TE_task1;2023-08-21 10:19:45;0
mision21;TE_task3;2023-08-21 10:19:46;3
mision21;TF_task3;2023-08-21 10:19:46;3
mision21;TG_enter;2023-08-21 10:19:54;2
mision21;TG_task1;2023-08-21 10:19:59;2
mision21;TH_enter;2023-08-21 10:20:04;5
mision21;TH_task2;2023-08-21 10:20:09;5
mision21;TG_task3;2023-08-21 10:20:10;2
mision21;TH_task3;2023-08-21 10:20:10;2
mision21;TG_task4;2023-08-21 10:20:10;5
mision21;TH_task4;2023-08-21 10:20:10;5
