case_id;activity;time;robot
;TB_enter;2023-08-21 10:17:01;5
;TA_enter;2023-08-21 10:17:01;4
;TB_task2;2023-08-21 10:17:05;5
;TA_task1;2023-08-21 10:17:06;4
;TA_task3;2023-08-21 10:17:08;1
;TB_task3;2023-08-21 10:17:08;1
;TC_enter;2023-08-21 10:17:19;0
;TC_task1;2023-08-21 10:17:24;0
;TD_enter;2023-08-21 10:18:11;3
;TD_task2;2023-08-21 10:18:16;3
;TC_task3;2023-08-21 10:18:18;0
;TD_task3;2023-08-21 10:18:18;0
;TF_enter;2023-08-21 10:18:37;5
;TF_task2;2023-08-21 10:18:42;5
;TE_enter;2023-08-21 10:20:12;1
;TE_task1;2023-08-21 10:20:17;1
;TE_task3;2023-08-21 10:20:18;4
;TF_task3;2023-08-21 10:20:18;4
;TG_enter;2023-08-21 10:20:33;3
;TG_task1;2023-08-21 10:20:38;3
;TH_enter;2023-08-21 10:20:42;2
;TH_task2;2023-08-21 10:20:47;2
;TG_task3;2023-08-21 10:20:49;5
;TH_task3;2023-08-21 10:20:49;5
;TG_task4;2023-08-21 10:20:49;2
;TH_task4;2023-08-21 10:20:49;2
